sveitarfelag,ar,hluti,heildarskuldir,eignir,langtimaskuldir,tekjur,utsvar,fasteignaskattur,framlag_jofnunarsjods,gjold,afskriftir,fjarmagnslidir,oreglulegir_lidir,rekstrarnidurstada,afborganir_langtimalana,tekin_ny_langtimalan,adrar_fjarmognunarhreyfingar,ny_fjarfesting,eigid_fe,veltufjarmunir,handbaert_fe,skammtimakrofur_eigin_fyrirtaeki,skammtimaskuldir,fjarfestingarhreyfingar,nyjar_langtimaskuldir,launagjold,veltufe,skatttekjur_an_jofnundarsjóðs,mannfjoldi,eiginfjarhlutfall,fjarf_nylan,fjarfesting_hlutf_skuldir,fjarmagnslidir_a_ibua,framlegd,framlegd_hlutf,gjold_a_ibua,handbaert_fe_per_ibui,jofnunarsjodur_a_ibua,launagjold_per_ibui,launagjold_hlutf_gjold,nettoskuldir,nettoskuldir_hlutf_tekjur,rekstrarnidurstada_hlutf,rekstrarnidurstada_a_ibua,rekstur_3_ar,tekjur_3_ar,rekstur_3_ar_hlutf_tekjur,utsvar_a_ibua,fasteignaskattur_a_ibua,skuldahlutfall,skuldir_hlutf_tekjur,skuldir_per_ibui,tekjur_a_ibua,ny_langtimalan_a_ibua,veltufe_hlutf_skuldir,veltufe_hlutf_tekjur,veltufjarhlutfall,veltufe_hlutf_afborganir
Akraneskaupstaður,2014,A-hluti,2691039000,11680651000,1723153000,4719529000,2802121000,351899000,942912000,4576344000,183466000,0,0,291954000,-261995000,0,0,-387738000,6228773000,975796000,506432000,2395000,967886000,-386863000,0,2626252000,779448000,NA,6624,0.5332556378921004,387738000,0.1440848683352415,0,326651000,0.0692126269379847,690873.1884057971,76454.10628019324,142347.8260869565,396475.2415458937,0.5738755652984129,1717638000,0.36394267309301415,0.06186083399423968,44075.18115942029,448145000,13258251000,0.03380121556003126,423025.51328502415,53124.84903381643,0.4667443621078996,0.5701922797804612,406255.8876811594,712489.2814009662,0,0.45379061245733965,0.16515376852224026,1.0081724500612677,-2.9750491421592016
Akraneskaupstaður,2014,A og B-hluti,3146264000,12135110000,2029183000,5357049000,2802121000,343878000,942912000,5349722000,218081000,0,0,145664000,-433437000,159000000,0,-390358000,5397994000,1146702000,654204000,0,1117081000,-369583000,159000000,3142464000,787370000,NA,6624,0.44482448037141814,549358000,0.1746064538767249,0,225408000,0.04207689718723872,807627.11352657,98762.68115942029,142347.8260869565,474405.7971014493,0.5874069718015253,1999562000,0.37325811281546983,0.027191089721225248,21990.338164251207,78317000,15034950000,0.0052089963717870695,423025.51328502415,51913.94927536232,0.5551755196285819,0.5873129030553949,474979.46859903383,808733.2427536232,24003.623188405796,0.39377123590066226,0.1469783083932964,1.0265164298739304,-1.8165731121247148
Akraneskaupstaður,2015,A-hluti,2378849000,11845457000,1435406000,5100441000,3039402000,372520000,971918000,4943761000,180241000,0,0,200349000,-263559000,0,0,-39860000,6519773000,1258393000,655034000,1671000,943443000,-15683000,0,2978893000,683401000,NA,6703,0.5504028253194453,39860000,0.01675600258780612,0,336921000,0.06605722916900715,737544.5322989706,97722.51230792183,144997.46382216917,444411.90511711175,0.6025560297109832,1122127000,0.22000587792310508,0.03928072102000592,29889.452483962406,808380000,14253690000,0.05671373518015335,453439.0571385947,55575.1156198717,0.4495971746805547,0.46640065045355883,354893.182157243,760919.1406832761,0,0.6090228646133637,0.13398861000450746,1.3338304486863541,-2.592971592698409
Akraneskaupstaður,2015,A og B-hluti,2853918000,12276357000,1731928000,5779226000,3039402000,362957000,971918000,5734460000,206363000,0,0,75186000,-278505000,0,0,-39860000,5562784000,1418202000,792931000,0,1121990000,-15483000,0,3552837000,689824000,NA,6703,0.4531298658062811,39860000,0.013966764286850569,0,251129000,0.04345374276763013,855506.4896315082,118294.94256303148,144997.46382216917,530036.8491720125,0.6195591215214684,1435716000,0.24842703849961914,0.013009700606967092,11216.76861106967,411513000,16153811000,0.02547466972344792,453439.0571385947,54148.4409965687,0.5468701341937189,0.4938235673773616,425767.26838728925,862184.9917947188,0,0.48047385416057214,0.11936269666560885,1.2640059180563106,-2.476881923125258
Akraneskaupstaður,2016,A-hluti,2128180000,12266282000,1188994000,5627371000,3357831000,397098000,1155153000,5563046000,176261000,0,-30051000,122876000,-300206000,0,0,-170388000,6719786000,1681208000,999258000,2634000,939186000,-95957000,0,3199303000,925176000,NA,6841,0.5478258204075204,170388000,0.08006277664483268,0,240586000,0.04275282365424281,813191.9310042391,146068.99576085366,168857.3307995907,467665.9845051893,0.5750991453243421,449606000,0.07989627838647922,0.021835418350771612,17961.701505627832,615179000,15447341000,0.039824264900994936,490839.2047946207,58046.776787019444,0.45217417959247963,0.37818370247847527,311091.94562198507,822594.7960824441,0,2.057748339657389,0.16440643419458215,1.790069272753214,-3.0818038280380806
Akraneskaupstaður,2016,A og B-hluti,2574044000,12667738000,1475146000,6362976000,3357831000,387135000,1155153000,6317168000,201922000,0,894778000,1015111000,-315896000,0,0,-184129000,6655031000,1823494000,1093342000,0,1098898000,-109698000,0,3835293000,927970000,NA,6841,0.525352750427898,184129000,0.07153296524845729,0,247730000,0.03893304013719367,923427.5690688496,159821.95585440725,168857.3307995907,560633.3869317351,0.6071222104588638,750550000,0.11795581187167765,0.15953399792801357,148386.3470252887,1235961000,17499251000,0.07062936579399884,490839.2047946207,56590.41075866101,0.474647249572102,0.40453460770557675,376267.21239584853,930123.6661306827,0,1.236386649790154,0.1458389910633012,1.659384219463499,-2.937580722769519
Akraneskaupstaður,2017,A-hluti,2392606000,12711593000,998833000,6136760000,3689225000,429986000,1248581000,6031205000,185944000,0,0,245649000,-265736000,0,0,-337939000,6669970000,2373857000,1690736000,0,1393773000,-233779000,0,3888177000,856705000,NA,6980,0.5247155096926089,337939000,0.14124306300326925,0,291499000,0.04750047256206858,864069.4842406877,242225.78796561604,178879.7994269341,557045.4154727794,0.6446766442195216,18749000,0.0030551952496105437,0.04002910330532724,35193.2664756447,568874000,16864572000,0.033731896664795286,528542.2636103152,61602.578796561604,0.47528449030739106,0.389880979539692,342780.229226361,879191.9770773639,0,45.69337031308336,0.13960216791922775,1.703187678337864,-3.223895144052744
Akraneskaupstaður,2017,A og B-hluti,2820372000,13091536000,1272406000,6942218000,3689225000,419485000,1248581000,6829754000,212651000,0,0,239746000,-282233000,0,0,-352363000,6599313000,2507040000,1815315000,0,1547966000,-246953000,0,4568490000,883958000,NA,6980,0.5040900471877402,352363000,0.12493493766070575,0,325115000,0.04683157457746213,978474.7851002865,260073.78223495703,178879.7994269341,654511.4613180516,0.6689098904587193,313332000,0.04513427841073271,0.03453449603570501,34347.56446991404,1330043000,19084420000,0.06969260789691277,528542.2636103152,60098.13753581662,0.4959099528122598,0.40626381943062,404064.7564469914,994587.106017192,0,2.8211545581045026,0.12733077526519623,1.619570455681843,-3.1320150372210196
Akraneskaupstaður,2018,A-hluti,2325168000,13780066700.000002,1175993700,6739639199.999999,4108569500,451665600,1403765500,6142974000.000001,190343700,0,70817100,814534599.9999983,-443072600,372000000,0,-563071000,7568096100.000001,3164372900,2012862500,1541700,1149174300,-565582700,372000000,3734897600,1439573400,NA,7184,0.549206057181131,935071000,0.4021520165424606,0,787008899.9999981,0.11677315011165557,855091.035634744,280186.8736080178,195401.65645879734,519891.09131403116,0.6079950200017125,-837663200,-0.12428902722270357,0.12085730049169374,113381.76503340734,1183059599.9999983,18503770200,0.06393613772829919,571905.5540089087,62871.04677060134,0.450793942818869,0.34499888361976416,323659.2427616927,938145.7683741647,51781.73719376392,-1.7185587238403215,0.21359799201120444,2.753605697586519,-3.2490688884846413
Akraneskaupstaður,2018,A og B-hluti,2772927900,14193917900,1439631500,7644491899.999999,4108569400,440615700,1403765400,7037086900,217815700,0,87150200,826068399.9999989,-460519200,372000000,0,-563071000,7508971899.999999,3358935400.0000005,2191105200,1541700,1333296400,-565582700,372000000,4495998100,1490107200.0000002,NA,7184,0.5290274294174971,935071000,0.3372143213676778,0,825220699.999999,0.10794971213194682,979549.9582405345,304997.9398663697,195401.6425389755,625834.9248329621,0.6389004660436978,-584465800.0000005,-0.0764558073506495,0.10806060243192867,114987.24944320698,2080925399.999999,20949685900,0.09932967061811648,571905.5400890869,61332.92037861915,0.47097257058250286,0.36273540953061906,385986.6230512249,1064099.6520044543,51781.73719376392,-2.5495199205838888,0.194925603884805,2.519271333815947,-3.235711344934153
