ar,sveitarfelag,hluti,name,y,is_percent
2002,Bolungarvíkurkaupstaður,A og B-hluti,Skuldir á íbúa,928167.8832116788,FALSE
2002,Bolungarvíkurkaupstaður,A og B-hluti,Veltufjárhlutfall,2.56040227795953,TRUE
2002,Bolungarvíkurkaupstaður,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,-0.06643998065749177,TRUE
2002,Bolungarvíkurkaupstaður,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Borgarbyggð,A og B-hluti,Eiginfjárhlutfall,0.2691990194621765,TRUE
2002,Borgarbyggð,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Borgarbyggð,A og B-hluti,Framlegð sem hlutfall af tekjum,0.05268336547985195,TRUE
2002,Borgarbyggð,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Borgarbyggð,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.518770249732447,TRUE
2002,Borgarbyggð,A og B-hluti,Launa- og launatengd gjöld á íbúa,186732.04338903548,FALSE
2002,Borgarbyggð,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,1.1228211502371892,TRUE
2002,Borgarbyggð,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,-0.013254737267372153,TRUE
2002,Borgarbyggð,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Borgarbyggð,A og B-hluti,Skuldir sem hlutfall af tekjum,1.3260813611009747,TRUE
2002,Borgarbyggð,A og B-hluti,Skuldir á íbúa,477292.8759894459,FALSE
2002,Borgarbyggð,A og B-hluti,Veltufjárhlutfall,0.605431675684298,TRUE
2002,Borgarbyggð,A og B-hluti,Veltufé frá rekstri sem hlutfall af tekjum,0.026146197153729865,TRUE
2002,Borgarbyggð,A og B-hluti,Útsvar á íbúa,0,FALSE
2002,Dalabyggð,A og B-hluti,Eiginfjárhlutfall,0.36261166069287915,TRUE
2002,Dalabyggð,A og B-hluti,Fasteignaskattur á íbúa,0,FALSE
2002,Dalabyggð,A og B-hluti,Framlegð sem hlutfall af tekjum,0.06291329127839132,TRUE
2002,Dalabyggð,A og B-hluti,Handbært fé á íbúa,0,TRUE
2002,Dalabyggð,A og B-hluti,Launa- og launatengd gjöld sem hlutfall af gjöldum,0.40936363003180687,TRUE
2002,Dalabyggð,A og B-hluti,Launa- og launatengd gjöld á íbúa,164787.71695594126,FALSE
2002,Dalabyggð,A og B-hluti,Nettóskuldir sem hlutfall af tekjum,1.1463207563124693,TRUE
2002,Dalabyggð,A og B-hluti,Rekstrarniðurstaða sem hlutfall af tekjum,-0.059290703377361365,TRUE
2002,Dalabyggð,A og B-hluti,Rekstrarniðurstaða undanfarinna 3 ára sem hlutfall af tekjum,NA,TRUE
2002,Dalabyggð,A og B-hluti,Skuldir sem hlutfall af tekjum,1.4333643389876372,TRUE
2002,Dalabyggð,A og B-hluti,Skuldir á íbúa,565777.0360480641,FALSE
2002,Dalabyggð,A og B-hluti,Veltufjárhlutfall,0.49202918771930865,TRUE
