sveitarfelag,ar,hluti,name,obs,vidmid,diff,colour
Akraneskaupstaður,2014,A og B-hluti,veltufe,0.1469783083932964,0.0521781114938467,0.0948001968994497,TRUE
Akraneskaupstaður,2014,A og B-hluti,veltufjarhlutfall,1.0265164298739304,1,0.026516429873930436,TRUE
Akraneskaupstaður,2015,A-hluti,nettoskuldir,0.7977667029184339,1,-0.20223329708156612,FALSE
Akraneskaupstaður,2015,A-hluti,rekstrarnidurstada,0.05671373518015335,0,0.05671373518015335,TRUE
Akraneskaupstaður,2015,A-hluti,framlegd,0.06605722916900715,0.07977667029184339,-0.01371944112283624,FALSE
Akraneskaupstaður,2015,A-hluti,veltufe,0.13398861000450746,0.039888335145921695,0.09410027485858577,TRUE
Akraneskaupstaður,2015,A-hluti,veltufjarhlutfall,1.3338304486863541,1,0.33383044868635414,TRUE
Akraneskaupstaður,2015,A og B-hluti,nettoskuldir,0.916276850913946,1,-0.08372314908605405,FALSE
Akraneskaupstaður,2015,A og B-hluti,rekstrarnidurstada,0.02547466972344792,0,0.02547466972344792,TRUE
Akraneskaupstaður,2015,A og B-hluti,framlegd,0.04345374276763013,0.0916276850913946,-0.04817394232376447,FALSE
Akraneskaupstaður,2015,A og B-hluti,veltufe,0.11936269666560885,0.0458138425456973,0.07354885411991155,TRUE
Akraneskaupstaður,2015,A og B-hluti,veltufjarhlutfall,1.2640059180563106,1,0.2640059180563106,TRUE
Akraneskaupstaður,2016,A-hluti,nettoskuldir,0.6873408559698658,1,-0.3126591440301342,FALSE
Akraneskaupstaður,2016,A-hluti,rekstrarnidurstada,0.039824264900994936,0,0.039824264900994936,TRUE
Akraneskaupstaður,2016,A-hluti,framlegd,0.04275282365424281,0.06873408559698659,-0.025981261942743777,FALSE
Akraneskaupstaður,2016,A-hluti,veltufe,0.16440643419458215,0.03436704279849329,0.13003939139608886,TRUE
Akraneskaupstaður,2016,A-hluti,veltufjarhlutfall,1.790069272753214,1,0.7900692727532139,TRUE
Akraneskaupstaður,2016,A og B-hluti,nettoskuldir,0.6583732203296068,1,-0.34162677967039323,FALSE
Akraneskaupstaður,2016,A og B-hluti,rekstrarnidurstada,0.07062936579399884,0,0.07062936579399884,TRUE
Akraneskaupstaður,2016,A og B-hluti,framlegd,0.03893304013719367,0.06583732203296068,-0.02690428189576701,FALSE
Akraneskaupstaður,2016,A og B-hluti,veltufe,0.1458389910633012,0.03291866101648034,0.11292033004682087,TRUE
Akraneskaupstaður,2016,A og B-hluti,veltufjarhlutfall,1.659384219463499,1,0.6593842194634989,TRUE
Akraneskaupstaður,2017,A-hluti,nettoskuldir,0.5976714096689458,1,-0.40232859033105417,FALSE
Akraneskaupstaður,2017,A-hluti,rekstrarnidurstada,0.033731896664795286,0,0.033731896664795286,TRUE
Akraneskaupstaður,2017,A-hluti,framlegd,0.04750047256206858,0.05976714096689458,-0.012266668404826,FALSE
Akraneskaupstaður,2017,A-hluti,veltufe,0.13960216791922775,0.02988357048344729,0.10971859743578045,TRUE
Akraneskaupstaður,2017,A-hluti,veltufjarhlutfall,1.703187678337864,1,0.7031876783378641,TRUE
Akraneskaupstaður,2017,A og B-hluti,nettoskuldir,0.5740503971497294,1,-0.4259496028502706,FALSE
Akraneskaupstaður,2017,A og B-hluti,rekstrarnidurstada,0.06969260789691277,0,0.06969260789691277,TRUE
